,lookback_window,minimum_occurrence,minimum_length,alpha,size,strategy,win_rate,sharpe,mdd
225,20,100,1,0.05,trinary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
226,20,100,1,0.05,trinary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
227,20,100,1,0.05,trinary,Strategy,0.0024630541871921183,-1.4801803690787863,0.27073070623873297
228,20,100,1,0.1,binary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
229,20,100,1,0.1,binary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
230,20,100,1,0.1,binary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
231,20,100,1,0.1,binary,Strategy,0.43349753694581283,-1.5280718557406372,0.9971584487688708
232,20,100,1,0.1,continuous,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
233,20,100,1,0.1,continuous,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
234,20,100,1,0.1,continuous,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
235,20,100,1,0.1,continuous,Strategy,0.43349753694581283,-0.6785806367288821,0.4023062327636685
236,20,100,1,0.1,trinary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
237,20,100,1,0.1,trinary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
238,20,100,1,0.1,trinary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
239,20,100,1,0.1,trinary,Strategy,0.014778325123152709,-1.1670794338644308,0.5068065249298321
240,20,100,1,0.2,binary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
241,20,100,1,0.2,binary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
242,20,100,1,0.2,binary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
243,20,100,1,0.2,binary,Strategy,0.5098522167487685,-0.2531743934602126,0.9750750647877336
244,20,100,1,0.2,continuous,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
245,20,100,1,0.2,continuous,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
246,20,100,1,0.2,continuous,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
247,20,100,1,0.2,continuous,Strategy,0.5098522167487685,0.07154390156599262,0.36172301504831106
248,20,100,1,0.2,trinary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
249,20,100,1,0.2,trinary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
250,20,100,1,0.2,trinary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
251,20,100,1,0.2,trinary,Strategy,0.046798029556650245,-0.000305656747651675,0.3593172139580836
252,20,100,3,0.05,binary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
253,20,100,3,0.05,binary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
254,20,100,3,0.05,binary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
255,20,100,3,0.05,binary,Strategy,0.4975369458128079,-1.293852856806595,0.9958834283701057
256,20,100,3,0.05,continuous,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
257,20,100,3,0.05,continuous,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
258,20,100,3,0.05,continuous,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
259,20,100,3,0.05,continuous,Strategy,0.4876847290640394,-1.6284460314833296,0.3090553290805649
260,20,100,3,0.05,trinary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
261,20,100,3,0.05,trinary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
262,20,100,3,0.05,trinary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
263,20,100,3,0.05,trinary,Strategy,0.0,-1.7677797310187455,0.2353145389123925
264,20,100,3,0.1,binary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
265,20,100,3,0.1,binary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
266,20,100,3,0.1,binary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
267,20,100,3,0.1,binary,Strategy,0.43596059113300495,-1.5916026159552976,0.9975153721328902
268,20,100,3,0.1,continuous,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
269,20,100,3,0.1,continuous,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
270,20,100,3,0.1,continuous,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
271,20,100,3,0.1,continuous,Strategy,0.43596059113300495,-0.8520207082911639,0.4084835206797668
272,20,100,3,0.1,trinary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
273,20,100,3,0.1,trinary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
274,20,100,3,0.1,trinary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
